doc_id,doc_type,supplier,port_id,country,route,amount,expected_amount,deviation,payment_terms,date,signals,status,anomaly_score,commodity,currency
BI-2026-00128,Bill of Lading,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-MUN,766942,748388,0.0248,Net 30,2026-01-25,,normal,0.106,Electronics,SGD
PU-2025-00129,Purchase Order,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-JNPT,399225,340496,0.1725,LC 60 Days,2025-11-01,Carrier change mid-route|Route surcharge detected|Cost overrun >10%,alert,0.814,Agricultural Products,USD
CU-2026-00130,Customs Declaration,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-KOC,378528,350827,0.079,Net 30,2026-02-19,Minor deviation from baseline,review,0.47,Steel & Iron,EUR
PA-2025-00131,Packing List,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-CHN,45376,45512,-0.003,Net 60,2025-11-24,,normal,0.018,Automobile Parts,EUR
PU-2025-00132,Purchase Order,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-JNPT,171818,192436,-0.1071,Net 60,2025-10-17,Minor tariff reclassification|Quantity discrepancy|Cost overrun >10%,alert,0.363,Automobile Parts,INR
IN-2026-00133,Insurance Certificate,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-VIZ,367485,434051,-0.1534,LC at Sight,2026-02-14,Cost overrun >10%|Insurance premium adjustment,alert,0.544,Automobile Parts,SGD
IN-2026-00134,Insurance Certificate,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-MUN,179874,176156,0.0211,Advance Payment,2026-03-03,,normal,0.07,Pharmaceuticals,INR
IN-2025-00135,Invoice,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-KOL,324939,315673,0.0294,Net 60,2025-11-30,,normal,0.117,Medical Devices,EUR
CU-2026-00136,Customs Declaration,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-HAZ,147841,172767,-0.1443,LC at Sight,2026-01-05,Minor tariff reclassification|Route surcharge detected|Quantity discrepancy,alert,0.695,Food Products,USD
IN-2026-00137,Invoice,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-PAR,125741,126137,-0.0031,Net 30,2026-02-10,,normal,0.011,Plastics,EUR
PU-2025-00138,Purchase Order,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-MUN,185553,192877,-0.038,Net 30,2025-12-06,,normal,0.209,Machinery,INR
IN-2025-00139,Insurance Certificate,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-PAR,344220,338708,0.0163,Net 15,2025-11-15,,normal,0.068,Steel & Iron,SGD
BI-2025-00140,Bill of Lading,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-TUT,499018,536626,-0.0701,Advance Payment,2025-07-20,,review,0.376,Pharmaceuticals,EUR
IN-2025-00141,Invoice,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-KOL,190857,200434,-0.0478,Advance Payment,2025-08-30,,normal,0.219,Textiles & Garments,USD
PA-2026-00142,Packing List,Colombo Textiles Ltd.,LK-CMB,LK,LK-CMB → IN-MUN,597701,627997,-0.0482,Net 15,2026-01-30,,normal,0.266,Medical Devices,SGD
BI-2025-00143,Bill of Lading,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-PAR,666222,728478,-0.0855,Net 15,2025-06-25,Seasonal adjustment,review,0.499,Pharmaceuticals,USD
PA-2025-00144,Packing List,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-HAZ,202682,289558,-0.3,Advance Payment,2025-10-26,Material substitution flagged|New intermediary entity detected,critical,1.0,Plastics,INR
IN-2026-00145,Invoice,Colombo Textiles Ltd.,LK-CMB,LK,LK-CMB → IN-KND,589504,583002,0.0112,Advance Payment,2026-03-16,,normal,0.041,Agricultural Products,SGD
PA-2025-00146,Packing List,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-VIZ,533685,631907,-0.1554,Net 45,2025-06-28,Quantity discrepancy|Cost overrun >10%,alert,0.7,Automobile Parts,SGD
PA-2026-00147,Packing List,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-JNPT,786170,719908,0.092,Net 60,2026-01-25,,review,0.545,Chemical Products,USD
PU-2025-00148,Purchase Order,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-JNPT,158868,128343,0.2378,LC 60 Days,2025-09-09,Insurance premium spike|Payment terms changed|Sanctions list match|Material substitution flagged|Critical cost overrun >20%,critical,1.0,Medical Devices,USD
BI-2025-00149,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-CHN,42027,55981,-0.2493,Net 60,2025-06-12,Sanctions list match|Expedited shipping requested|Critical cost overrun >20%|Compliance review needed,critical,1.0,Textiles & Garments,SGD
IN-2025-00150,Invoice,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-KOL,724874,672319,0.0782,Net 60,2025-10-28,Minor deviation from baseline,review,0.307,Machinery,SGD
BI-2026-00151,Bill of Lading,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-PAR,25338,24030,0.0544,Net 60,2026-03-14,,review,0.295,Automobile Parts,USD
BI-2026-00152,Bill of Lading,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-JNPT,503600,524675,-0.0402,Net 30,2026-02-06,,normal,0.218,Plastics,SGD
CU-2025-00153,Customs Declaration,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-KOL,364684,337554,0.0804,Net 45,2025-06-16,Minor deviation from baseline,review,0.4,Agricultural Products,INR
BI-2025-00154,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-VIZ,91078,86282,0.0556,Net 45,2025-07-29,Seasonal adjustment,review,0.247,Medical Devices,EUR
CU-2025-00155,Customs Declaration,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-KND,523737,559389,-0.0637,Net 30,2025-12-24,Minor deviation from baseline,review,0.192,Automobile Parts,EUR
BI-2025-00156,Bill of Lading,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-PAR,313140,376948,-0.1693,Net 45,2025-06-26,Minor tariff reclassification|Carrier change mid-route,alert,0.925,Agricultural Products,SGD
PA-2026-00157,Packing List,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-KND,633710,619318,0.0232,Net 30,2026-03-24,,normal,0.118,Petroleum Products,INR
IN-2025-00158,Insurance Certificate,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-MUN,470025,475673,-0.0119,Advance Payment,2025-06-02,,normal,0.06,Automobile Parts,EUR
BI-2026-00159,Bill of Lading,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-KOL,659986,650701,0.0143,Advance Payment,2026-02-26,,normal,0.063,Agricultural Products,USD
PA-2025-00160,Packing List,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-CHN,169919,160768,0.0569,Net 30,2025-07-29,,review,0.291,Petroleum Products,INR
PU-2025-00161,Purchase Order,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-MUN,697376,676339,0.0311,LC at Sight,2025-09-18,,normal,0.138,Plastics,USD
CU-2025-00162,Customs Declaration,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-KOC,121987,114367,0.0666,LC at Sight,2025-07-27,Seasonal adjustment,review,0.25,Chemical Products,EUR
CU-2025-00163,Customs Declaration,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-KND,310685,473756,-0.3442,Net 60,2025-12-27,Material substitution flagged|Critical cost overrun >20%|New intermediary entity detected|Payment terms changed|Sanctions list match,critical,1.0,Petroleum Products,USD
IN-2025-00164,Insurance Certificate,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-KOC,424079,445603,-0.0483,Net 45,2025-09-15,,normal,0.242,Automobile Parts,EUR
BI-2025-00165,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-MUN,89677,91440,-0.0193,LC 60 Days,2025-07-19,,normal,0.108,Machinery,SGD
PA-2025-00166,Packing List,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-JNPT,667000,733428,-0.0906,Net 60,2025-11-19,,review,0.514,Textiles & Garments,USD
IN-2025-00167,Insurance Certificate,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-TUT,373634,383223,-0.025,LC at Sight,2025-08-08,,normal,0.146,Machinery,SGD
BI-2026-00168,Bill of Lading,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-KOL,418767,402712,0.0399,Advance Payment,2026-03-23,,normal,0.203,Medical Devices,SGD
BI-2026-00169,Bill of Lading,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-HAZ,377018,289653,0.3016,Net 60,2026-03-07,Compliance review needed|Sanctions list match|Critical cost overrun >20%|Material substitution flagged,critical,1.0,Food Products,SGD
LE-2025-00170,Letter of Credit,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-VIZ,49936,55248,-0.0961,Net 45,2025-09-15,Minor deviation from baseline,review,0.318,Machinery,SGD
IN-2025-00171,Invoice,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-VIZ,788853,682551,0.1557,Net 45,2025-12-14,Quantity discrepancy|Minor tariff reclassification,alert,0.664,Chemical Products,INR
CU-2025-00172,Customs Declaration,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-PAR,314239,369650,-0.1499,Net 15,2025-10-08,Carrier change mid-route,alert,0.478,Automobile Parts,USD
IN-2025-00173,Invoice,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-KOL,810695,647186,0.2526,Net 45,2025-09-30,Sanctions list match|Material substitution flagged|Payment terms changed|Insurance premium spike,critical,1.0,Food Products,USD
PU-2025-00174,Purchase Order,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-MUN,639785,605613,0.0564,LC at Sight,2025-10-04,,review,0.233,Machinery,SGD
BI-2025-00175,Bill of Lading,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-VIZ,388428,318740,0.2186,Net 60,2025-11-24,Expedited shipping requested|Sanctions list match,critical,1.0,Electronics,SGD
BI-2025-00176,Bill of Lading,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-CHN,695092,704444,-0.0133,LC at Sight,2025-09-28,,normal,0.056,Electronics,USD
LE-2025-00177,Letter of Credit,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-PAR,750167,633990,0.1832,Net 45,2025-06-24,Minor tariff reclassification,alert,1.0,Textiles & Garments,USD
IN-2025-00178,Invoice,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-KOL,360308,334041,0.0786,LC at Sight,2025-06-06,,review,0.362,Plastics,SGD
CU-2025-00179,Customs Declaration,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-MUN,273615,405377,-0.325,Net 15,2025-06-04,New intermediary entity detected|Payment terms changed|Insurance premium spike|Expedited shipping requested,critical,1.0,Machinery,USD
BI-2025-00180,Bill of Lading,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KOL,603479,559759,0.0781,Advance Payment,2025-12-25,Minor deviation from baseline,review,0.256,Petroleum Products,SGD
IN-2025-00181,Invoice,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-PAR,818854,636847,0.2858,Net 30,2025-10-18,Expedited shipping requested|Material substitution flagged|New intermediary entity detected,critical,1.0,Machinery,USD
CU-2025-00182,Customs Declaration,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-KND,690295,655267,0.0535,Net 45,2025-06-12,,review,0.228,Pharmaceuticals,USD
PA-2025-00183,Packing List,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-KOC,400016,371088,0.078,Net 45,2025-09-05,Minor deviation from baseline,review,0.372,Medical Devices,INR
CU-2026-00184,Customs Declaration,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-VIZ,210365,248263,-0.1527,Net 60,2026-01-06,Carrier change mid-route|Quantity discrepancy|Insurance premium adjustment,alert,0.853,Plastics,EUR
LE-2025-00185,Letter of Credit,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-HAZ,258866,223253,0.1595,LC 60 Days,2025-10-13,Route surcharge detected,alert,0.811,Food Products,EUR
CU-2025-00186,Customs Declaration,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-JNPT,18771,19458,-0.0353,LC at Sight,2025-07-11,,normal,0.117,Machinery,USD
CU-2025-00187,Customs Declaration,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-KND,243710,330660,-0.263,Advance Payment,2025-06-05,Sanctions list match|Payment terms changed,critical,0.877,Agricultural Products,INR
CU-2025-00188,Customs Declaration,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-PAR,276900,277903,-0.0036,Net 30,2025-09-18,,normal,0.019,Electronics,INR
LE-2025-00189,Letter of Credit,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-KOC,304817,327420,-0.069,Net 45,2025-07-01,Seasonal adjustment,review,0.219,Steel & Iron,USD
IN-2025-00190,Insurance Certificate,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-MUN,433712,430900,0.0065,Net 30,2025-07-02,,normal,0.039,Machinery,INR
IN-2025-00191,Invoice,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-HAZ,553393,493872,0.1205,Net 15,2025-07-09,Route surcharge detected,alert,0.374,Machinery,EUR
LE-2025-00192,Letter of Credit,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-TUT,171385,167912,0.0207,Net 15,2025-07-19,,normal,0.092,Machinery,EUR
PU-2025-00193,Purchase Order,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-KND,146320,174763,-0.1628,LC at Sight,2025-07-26,Route surcharge detected|Insurance premium adjustment,alert,0.605,Textiles & Garments,EUR
PU-2025-00194,Purchase Order,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-MUN,307789,263140,0.1697,Net 15,2025-07-05,Quantity discrepancy,alert,0.927,Agricultural Products,USD
IN-2025-00195,Invoice,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-VIZ,711621,731210,-0.0268,Net 15,2025-07-30,,normal,0.157,Automobile Parts,INR
BI-2025-00196,Bill of Lading,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-JNPT,674700,647883,0.0414,Net 45,2025-07-21,,normal,0.19,Machinery,EUR
PU-2026-00197,Purchase Order,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-TUT,427066,519915,-0.1786,LC 60 Days,2026-02-02,Insurance premium adjustment|Quantity discrepancy|Minor tariff reclassification,alert,0.732,Agricultural Products,SGD
LE-2025-00198,Letter of Credit,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-VIZ,771574,747649,0.032,Net 30,2025-09-24,,normal,0.106,Electronics,INR
PA-2025-00199,Packing List,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-HAZ,112662,103980,0.0835,LC 60 Days,2025-07-16,Seasonal adjustment,review,0.431,Automobile Parts,INR
IN-2025-00200,Insurance Certificate,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-PAR,333974,353453,-0.0551,LC at Sight,2025-12-19,Minor deviation from baseline,review,0.327,Electronics,EUR
IN-2025-00201,Insurance Certificate,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-MUN,688708,664573,0.0363,Net 15,2025-09-10,,normal,0.134,Automobile Parts,INR
IN-2026-00202,Invoice,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-PAR,482390,423933,0.1379,Net 15,2026-02-14,Cost overrun >10%,alert,0.538,Steel & Iron,SGD
BI-2025-00203,Bill of Lading,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-VIZ,667428,724673,-0.079,Net 15,2025-10-04,Seasonal adjustment,review,0.247,Petroleum Products,SGD
LE-2025-00204,Letter of Credit,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-CHN,694589,624417,0.1124,Advance Payment,2025-06-30,Cost overrun >10%|Insurance premium adjustment|Carrier change mid-route,alert,0.417,Food Products,EUR
IN-2025-00205,Invoice,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-PAR,521803,526540,-0.009,Net 45,2025-12-05,,normal,0.05,Electronics,INR
LE-2025-00206,Letter of Credit,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-KOL,577470,579055,-0.0027,Net 30,2025-07-05,,normal,0.009,Machinery,EUR
PA-2026-00207,Packing List,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-PAR,736246,765351,-0.038,Advance Payment,2026-01-03,,normal,0.2,Machinery,INR
PA-2025-00208,Packing List,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-JNPT,469043,424894,0.1039,Net 60,2025-07-31,Carrier change mid-route,alert,0.445,Automobile Parts,SGD
CU-2025-00209,Customs Declaration,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-MUN,102106,102317,-0.0021,Net 15,2025-08-16,,normal,0.009,Machinery,INR
IN-2025-00210,Invoice,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-JNPT,575174,527223,0.0909,Advance Payment,2025-12-18,,review,0.495,Petroleum Products,SGD
IN-2025-00211,Invoice,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-PAR,755241,730760,0.0335,Net 45,2025-09-21,,normal,0.131,Steel & Iron,INR
BI-2025-00212,Bill of Lading,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-TUT,573713,650334,-0.1178,Net 15,2025-10-06,Insurance premium adjustment,alert,0.624,Steel & Iron,SGD
PU-2025-00213,Purchase Order,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-JNPT,650828,639148,0.0183,Net 15,2025-08-16,,normal,0.098,Electronics,USD
PA-2025-00214,Packing List,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-HAZ,100086,115954,-0.1368,Net 15,2025-10-15,Cost overrun >10%|Route surcharge detected|Minor tariff reclassification,alert,0.566,Medical Devices,USD
CU-2026-00215,Customs Declaration,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-VIZ,675383,647670,0.0428,Net 45,2026-03-14,,normal,0.249,Steel & Iron,SGD
PU-2026-00216,Purchase Order,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-CHN,317815,303332,0.0477,Net 15,2026-02-10,,normal,0.282,Electronics,USD
PA-2025-00217,Packing List,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-JNPT,246054,326214,-0.2457,Net 45,2025-08-04,Expedited shipping requested|Material substitution flagged|Critical cost overrun >20%,critical,0.789,Petroleum Products,SGD
BI-2025-00218,Bill of Lading,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-PAR,348760,399416,-0.1268,Net 45,2025-06-20,Insurance premium adjustment,alert,0.513,Chemical Products,USD
LE-2025-00219,Letter of Credit,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KOL,434039,359271,0.2081,Net 30,2025-12-27,Expedited shipping requested|New intermediary entity detected,critical,0.659,Chemical Products,USD
IN-2026-00220,Insurance Certificate,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-VIZ,33886,30220,0.1213,Net 30,2026-01-28,Route surcharge detected|Minor tariff reclassification,alert,0.368,Medical Devices,INR
PA-2025-00221,Packing List,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KOL,174692,170653,0.0237,Net 45,2025-09-02,,normal,0.092,Machinery,SGD
CU-2026-00222,Customs Declaration,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-KND,233275,225822,0.033,Net 60,2026-01-15,,normal,0.146,Plastics,EUR
IN-2026-00223,Insurance Certificate,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-MUN,405688,395467,0.0258,Net 60,2026-01-02,,normal,0.135,Medical Devices,INR
IN-2025-00224,Invoice,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-JNPT,554279,752142,-0.2631,Net 60,2025-07-17,Insurance premium spike|Sanctions list match|Expedited shipping requested,critical,1.0,Textiles & Garments,EUR
LE-2026-00225,Letter of Credit,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KOL,321901,250444,0.2853,Net 30,2026-03-14,New intermediary entity detected|Expedited shipping requested,critical,1.0,Food Products,SGD
IN-2026-00226,Insurance Certificate,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-KOC,484246,428787,0.1293,Advance Payment,2026-01-31,Quantity discrepancy|Minor tariff reclassification,alert,0.61,Petroleum Products,USD
BI-2025-00227,Bill of Lading,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-KOL,51514,47821,0.0772,LC at Sight,2025-08-13,,review,0.326,Plastics,INR
IN-2025-00228,Insurance Certificate,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-KND,513738,711908,-0.2784,Net 60,2025-07-22,Insurance premium spike|Compliance review needed|Payment terms changed|New intermediary entity detected,critical,0.888,Food Products,SGD
BI-2025-00229,Bill of Lading,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-MUN,31518,34887,-0.0966,Net 15,2025-08-11,Minor deviation from baseline,review,0.427,Chemical Products,SGD
LE-2025-00230,Letter of Credit,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-CHN,719141,799621,-0.1006,LC 60 Days,2025-08-09,Route surcharge detected,alert,0.592,Electronics,INR
CU-2026-00231,Customs Declaration,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-KOC,305362,405689,-0.2473,LC 60 Days,2026-01-18,New intermediary entity detected|Critical cost overrun >20%|Expedited shipping requested|Material substitution flagged,critical,1.0,Electronics,INR
PA-2025-00232,Packing List,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-KOC,780381,677066,0.1526,Net 15,2025-11-14,Minor tariff reclassification|Cost overrun >10%,alert,0.912,Petroleum Products,USD
BI-2025-00233,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-HAZ,55542,42731,0.2998,Net 60,2025-06-12,Compliance review needed|Critical cost overrun >20%|Insurance premium spike|Sanctions list match,critical,1.0,Textiles & Garments,EUR
IN-2025-00234,Insurance Certificate,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-HAZ,570433,577905,-0.0129,Net 30,2025-12-03,,normal,0.048,Medical Devices,EUR
CU-2026-00235,Customs Declaration,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-KND,441681,430778,0.0253,Net 30,2026-02-08,,normal,0.129,Medical Devices,INR
BI-2025-00236,Bill of Lading,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-VIZ,349172,330878,0.0553,Net 45,2025-11-07,,review,0.324,Textiles & Garments,USD
BI-2025-00237,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-VIZ,573417,430250,0.3328,Net 15,2025-12-16,Payment terms changed|Sanctions list match|Critical cost overrun >20%|Material substitution flagged,critical,1.0,Pharmaceuticals,USD
PU-2025-00238,Purchase Order,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-JNPT,891371,691774,0.2885,Net 60,2025-07-17,Expedited shipping requested|Compliance review needed|Insurance premium spike|New intermediary entity detected,critical,1.0,Agricultural Products,EUR
IN-2025-00239,Insurance Certificate,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-JNPT,680895,578478,0.177,Net 15,2025-07-17,Insurance premium adjustment|Quantity discrepancy|Minor tariff reclassification,alert,0.903,Medical Devices,USD
LE-2025-00240,Letter of Credit,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-CHN,272961,294454,-0.073,LC at Sight,2025-07-03,,review,0.373,Plastics,SGD
PU-2025-00241,Purchase Order,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-KND,384622,368605,0.0435,Advance Payment,2025-09-22,,normal,0.191,Machinery,SGD
PA-2025-00242,Packing List,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-PAR,319644,240883,0.327,Net 45,2025-07-15,Compliance review needed|Critical cost overrun >20%|Sanctions list match|Expedited shipping requested|Payment terms changed,critical,1.0,Machinery,USD
CU-2025-00243,Customs Declaration,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-KOC,619470,648867,-0.0453,Net 15,2025-10-04,,normal,0.137,Steel & Iron,USD
PU-2026-00244,Purchase Order,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-KOL,722965,730062,-0.0097,LC at Sight,2026-03-13,,normal,0.035,Chemical Products,EUR
PA-2025-00245,Packing List,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-PAR,777117,772444,0.0061,Net 60,2025-11-14,,normal,0.033,Chemical Products,USD
LE-2025-00246,Letter of Credit,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-KND,307195,379512,-0.1906,Advance Payment,2025-07-09,Carrier change mid-route,alert,1.0,Agricultural Products,EUR
CU-2025-00247,Customs Declaration,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-JNPT,773011,585384,0.3205,Net 45,2025-06-17,Compliance review needed|Insurance premium spike|Sanctions list match|New intermediary entity detected|Payment terms changed,critical,1.0,Electronics,USD
IN-2026-00248,Insurance Certificate,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-PAR,445487,452779,-0.0161,LC 60 Days,2026-03-10,,normal,0.053,Machinery,USD
LE-2026-00249,Letter of Credit,Colombo Textiles Ltd.,LK-CMB,LK,LK-CMB → IN-KOC,714830,677633,0.0549,Net 45,2026-01-27,Minor deviation from baseline,review,0.295,Textiles & Garments,SGD
PU-2026-00250,Purchase Order,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-CHN,23005,25207,-0.0874,Net 45,2026-02-09,,review,0.46,Electronics,USD
BI-2026-00251,Bill of Lading,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-KOC,668256,748817,-0.1076,Net 15,2026-02-02,Insurance premium adjustment|Quantity discrepancy|Minor tariff reclassification,alert,0.57,Chemical Products,INR
IN-2025-00252,Insurance Certificate,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-VIZ,589643,565158,0.0433,LC at Sight,2025-08-04,,normal,0.229,Machinery,EUR
CU-2025-00253,Customs Declaration,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-MUN,503628,509081,-0.0107,LC 60 Days,2025-10-27,,normal,0.063,Agricultural Products,SGD
PA-2025-00254,Packing List,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-CHN,745882,651154,0.1455,Net 15,2025-09-05,Insurance premium adjustment|Quantity discrepancy,alert,0.496,Plastics,USD
IN-2025-00255,Insurance Certificate,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-JNPT,235719,240693,-0.0207,LC at Sight,2025-07-08,,normal,0.087,Medical Devices,INR
